scenario,hardened_residual_fraction,quadratic_threshold_T,required_target_delta_chi2,required_target_norm
positive_two_mode,0.029650190046201015,1.0,33.7265966404194,5.807460429518173
positive_two_mode,0.029650190046201015,4.0,134.9063865616776,11.614920859036346
positive_two_mode,0.029650190046201015,9.0,303.53936976377463,17.42238128855452
positive_two_mode,0.029650190046201015,16.0,539.6255462467104,23.22984171807269
positive_two_mode,0.029650190046201015,25.0,843.1649160104851,29.037302147590864
signed_out_of_class,0.17409017520999262,1.0,5.7441495408558865,2.3966955461334436
signed_out_of_class,0.17409017520999262,4.0,22.976598163423546,4.793391092266887
signed_out_of_class,0.17409017520999262,9.0,51.69734586770298,7.190086638400332
signed_out_of_class,0.17409017520999262,16.0,91.90639265369418,9.586782184533774
signed_out_of_class,0.17409017520999262,25.0,143.60373852139716,11.98347773066722
