mode,mass_squared,boundary_residue,normalized_weight,cumulative_normalized_weight
0,0.00032432413479388972,0.08108098631445311,0.97297183577343738,0.97297183577343738
1,10.034185801550642,0.0013496858040679702,0.016196229648815643,0.989168065422253
2,39.644551980100381,0.00034808522068554643,0.0041770226482265574,0.9933450880704795
3,88.992868770927529,0.00015561929132497479,0.0018674314958996975,0.99521251956637924
4,158.08020330254971,8.7717554473093132e-05,0.0010526106536771175,0.99626513022005636
5,246.90669101886428,5.6193243521911318e-05,0.00067431892226293587,0.99693944914231925
6,355.47236558861516,3.904349326639931e-05,0.00046852191919679172,0.99740797106151602
7,483.77723858388919,2.8694064400607744e-05,0.00034432877280729296,0.99775229983432334
8,631.82131484632566,2.1973392273216735e-05,0.00026368070727860084,0.9980159805416019
9,799.60459669114914,1.7364130854303259e-05,0.00020836957025163912,0.99822435011185351
10,987.12708533852685,1.406635903349494e-05,0.00016879630840193927,0.99839314642025545
11,1194.3887814810105,1.1625954321291009e-05,0.00013951145185549211,0.99853265787211098
12,1421.3896855353792,9.7695834599470276e-06,0.00011723500151936433,0.99864989287363037
13,1668.1297977646313,8.3247451490031004e-06,9.9896941788037212e-05,0.9987497898154184
14,1934.6091183413703,7.1782196926594465e-06,8.6138636311913351e-05,0.9988359284517303
15,2220.8276473826731,6.253203101227025e-06,7.50384372147243e-05,0.99891096688894498
16,2526.7853849702296,5.4961060174548244e-06,6.5953272209457893e-05,0.99897692016115447
17,2852.4823311624345,4.8686160187829741e-06,5.8423392225395689e-05,0.99903534355337986
18,3197.9184860019332,4.3427548257337229e-06,5.2113057908804671e-05,0.99908745661128862
19,3563.0938495204523,3.8977053594704705e-06,4.6772464313645643e-05,0.99913422907560223
20,3948.0084217419944,3.5177197948648912e-06,4.2212637538378692e-05,0.99917644171314057
21,4352.6622026849864,3.1907073268602156e-06,3.8288487922322591e-05,0.99921473020106288
22,4777.0551923637668,2.9072604907238554e-06,3.4887125888686269e-05,0.99924961732695161
23,5221.1873907896243,2.659971029236712e-06,3.1919652350840546e-05,0.99928153697930244
24,5685.0587979715456,2.4429409283216063e-06,2.9315291139859277e-05,0.99931085227044225
25,6168.6694139167621,2.2514274904732857e-06,2.701712988567943e-05,0.99933786940032798
26,6672.0192386311355,2.0815820411539763e-06,2.4978984493847715e-05,0.99936284838482181
27,7195.1082721194734,1.930255068100636e-06,2.3163060817207632e-05,0.99938601144563899
28,7737.9365143857231,1.7948491672395766e-06,2.1538190006874918e-05,0.99940754963564582
29,8300.5039654331813,1.6732068488131906e-06,2.0078482185758288e-05,0.99942762811783159
30,8882.8106252645903,1.5635240667298379e-06,1.8762288800758055e-05,0.9994463904066323
31,9484.8564938822637,1.4642829476990793e-06,1.7571395372388954e-05,0.9994639618020047
32,10106.641571288164,1.3741989971576379e-06,1.6490387965891655e-05,0.99948045218997061
33,10748.165857483955,1.2921793276889829e-06,1.5506151932267796e-05,0.99949595834190286
34,11409.429352471063,1.2172893573794979e-06,1.4607472288553975e-05,0.9995105658141914
35,12090.432056250706,1.1487260695981439e-06,1.3784712835177727e-05,0.99952435052702659
36,12791.173968823945,1.0857963981373139e-06,1.3029556777647767e-05,0.99953738008380422
37,13511.655090191689,1.0278996442701681e-06,1.2334795731242018e-05,0.99954971487953548
38,14251.875420354745,9.7451308920804706e-07,1.1694157070496565e-05,0.99956140903660595
39,15011.834959313801,9.2518015445189658e-07,1.1102161853422759e-05,0.99957251119845936
40,15791.533707069466,8.7950060773836199e-07,1.0554007292860344e-05,0.99958306520575224
41,16590.971663622277,8.3712242021750431e-07,1.0045469042610053e-05,0.99959311067479484
42,17410.148828972713,7.9773496385036686e-07,9.5728195662044027e-06,0.99960268349436099
43,18249.065203121187,7.6106330324320961e-07,9.1327596389185153e-06,0.99961181625399986
44,19107.720786068079,7.268633849931936e-07,8.7223606199183236e-06,0.99962053861461975
45,19986.115577813714,6.9491796661495107e-07,8.3390155993794128e-06,0.99962887763021913
46,20884.249578358384,6.6503315831562352e-07,7.9803978997874814e-06,0.99963685802811897
47,21802.122787702345,6.3703547425021823e-07,7.6444256910026183e-06,0.99964450245380998
48,22739.735205845871,6.1076930919527655e-07,7.3292317103433187e-06,0.9996518316855203
49,23697.086832789133,5.8609477121149764e-07,7.0331372545379713e-06,0.99965886482277488
50,24674.177668532353,5.6288581615435433e-07,6.754629793852252e-06,0.99966561945256871
51,25671.007713075676,5.4102863394705482e-07,6.4923436073646578e-06,0.9996721117961761
52,26687.576966419289,5.2042025153716332e-07,6.2450430184459598e-06,0.99967835683919459
53,27723.88542856331,5.0096731708027466e-07,6.011607804963296e-06,0.99968436844699959
54,28779.933099507882,4.8258504163878142e-07,5.7910204996653766e-06,0.99969015946749928
55,29855.719979253128,4.651962732993138e-07,5.5823552795917654e-06,0.99969574182277887
56,30951.246067799118,4.4873068624472441e-07,5.3847682349366925e-06,0.99970112659101384
57,32066.511365146009,4.3312406925102996e-07,5.1974888310123595e-06,0.99970632407984483
58,33201.515871293836,4.1831769778483575e-07,5.0198123734180291e-06,0.99971134389221827
59,34356.259586242719,4.0425778163828702e-07,4.8510933796594446e-06,0.99971619498559794
60,35530.742509992728,3.9089497520770822e-07,4.6907397024924989e-06,0.99972088572530038
61,36724.964642543899,3.7818394391000347e-07,4.5382073269200418e-06,0.99972542393262731
62,37938.925983896333,3.6608297968142616e-07,4.3929957561771141e-06,0.99972981692838347
63,39172.626534050076,3.5455365785838111e-07,4.2546438943005731e-06,0.99973407157227778
64,40426.066293005169,3.4356053200629161e-07,4.1227263840754989e-06,0.99973819429866184
65,41699.24526076168,3.3307086119747255e-07,3.9968503343696709e-06,0.99974219114899621
66,42992.163437319636,3.2305436584669173e-07,3.8766523901603009e-06,0.99974606780138642
67,44304.820822679125,3.1348300916326008e-07,3.7617961099591211e-06,0.99974982959749636
68,45637.21741684014,3.0433080024743327e-07,3.6519696029691992e-06,0.99975348156709931
69,46989.353219802702,2.9557361798914076e-07,3.5468834158696889e-06,0.99975702845051517
70,48361.228231566907,2.8718905197332817e-07,3.4462686236799381e-06,0.99976047471913887
71,49752.84245213274,2.7915625843840498e-07,3.34987510126086e-06,0.99976382459424018
72,51164.195881500265,2.7145583120116947e-07,3.2574699744140334e-06,0.99976708206421461
73,52595.288519669477,2.6406968389637433e-07,3.1688362067564922e-06,0.99977025090042138
74,54046.120366640418,2.5698094400390948e-07,3.083771328046914e-06,0.99977333467174945
75,55516.691422413103,2.501738561745389e-07,3.0020862740944666e-06,0.99977633675802358
76,57007.001686987569,2.4363369483472415e-07,2.9236043380166896e-06,0.99977926036236164
77,58517.051160363822,2.3734668423896584e-07,2.84816021086759e-06,0.99978210852257254
78,60046.839842541878,2.3129992601607182e-07,2.7755991121928621e-06,0.99978488412168476
79,61596.367733521758,2.2548133294358157e-07,2.7057759953229786e-06,0.99978758989768013
80,63165.63483330352,2.1987956863202211e-07,2.6385548235842653e-06,0.99979022845250376
81,64754.641141887136,2.1448399185673205e-07,2.5738079022807845e-06,0.99979280226040601
82,66363.386659272583,2.0928460630397549e-07,2.511415275647706e-06,0.99979531367568164
83,67991.871385459963,2.0427201445646686e-07,2.4512641734776022e-06,0.99979776493985517
84,69640.095320449254,1.9943737453158694e-07,2.3932484943790432e-06,0.99980015818834955
85,71308.058464240501,1.947723619668339e-07,2.3372683436020067e-06,0.9998024954566932
86,72995.760816833645,1.9026913308714614e-07,2.2832295970457534e-06,0.99980477868629025
87,74703.202378228714,1.8592029254626106e-07,2.2310435105551327e-06,0.99980700972980086
88,76430.383148425753,1.8171886290226624e-07,2.180626354827195e-06,0.99980919035615567
89,78177.303127424762,1.7765825632300367e-07,2.1318990758760438e-06,0.9998113222552315
90,79943.962315225726,1.7373224895102552e-07,2.0847869874123063e-06,0.99981340704221888
91,81730.360711828718,1.6993495708349291e-07,2.0392194850019149e-06,0.99981544626170393
92,83536.498317233621,1.6626081478723618e-07,1.9951297774468341e-06,0.99981744139148143
93,85362.375131440582,1.6270455415657099e-07,1.9524546498788518e-06,0.99981939384613128
94,87207.99115444957,1.5926118572404069e-07,1.9111342286884882e-06,0.99982130498035993
95,89073.346386260557,1.5592598118660202e-07,1.8711117742392242e-06,0.99982317609213411
96,90958.440826873528,1.5269445728703108e-07,1.832333487444373e-06,0.99982500842562161
97,92863.274476288541,1.4956236077973145e-07,1.7947483293567773e-06,0.99982680317395101
98,94787.847334505597,1.4652565416872019e-07,1.7583078500246424e-06,0.99982856148180099
99,96732.159401524696,1.4358050290463242e-07,1.7229660348555889e-06,0.99983028444783584
100,98696.210677345807,1.4072326310369185e-07,1.6886791572443022e-06,0.99983197312699312
101,100680.00116196903,1.3795047059710298e-07,1.6554056471652359e-06,0.99983362853264024
102,102683.53085539425,1.3525882980831049e-07,1.623105957699726e-06,0.99983525163859799
103,104706.79975762159,1.3264520481923746e-07,1.5917424578308496e-06,0.99983684338105583
104,106749.80786865095,1.3010660935312555e-07,1.5612793122375065e-06,0.99983840466036811
105,108812.55518848238,1.2764019885399723e-07,1.5316823862479667e-06,0.99983993634275437
106,110895.04171711586,1.2524326225384318e-07,1.5029191470461181e-06,0.99984143926190139
107,112997.26745455147,1.22913214693078e-07,1.4749585763169359e-06,0.99984291422047766
108,115119.23240078909,1.2064759013189706e-07,1.4477710815827648e-06,0.99984436199155924
109,117260.93655582886,1.1844403552376542e-07,1.421328426285185e-06,0.99984578331998553
110,119422.37991967067,1.1630030393337512e-07,1.3956036472005014e-06,0.99984717892363273
111,121603.56249231458,1.1421424938600382e-07,1.3705709926320457e-06,0.99984854949462532
112,123804.48427376064,1.121838212970491e-07,1.3462058555645893e-06,0.99984989570048088
113,126025.14526400872,1.1020705915127282e-07,1.3224847098152738e-06,0.99985121818519074
114,128265.545463059,1.0828208847734254e-07,1.2993850617281105e-06,0.99985251757025251
115,130525.68487091127,1.064071154191261e-07,1.2768853850295132e-06,0.99985379445563749
116,132805.56348756573,1.0458042363035631e-07,1.2549650835642757e-06,0.99985504942072101
117,135105.18131302221,1.0280036933502801e-07,1.2336044320203361e-06,0.99985628302515306
118,137424.5383472809,1.0106537854891579e-07,1.2127845425869895e-06,0.99985749580969563
119,139763.63459034168,9.9373942789174643e-08,1.1924873134700957e-06,0.99985868829700908
120,142122.47004220454,9.7724616277070453e-08,1.1726953953248453e-06,0.99985986099240443
121,144501.04470286949,9.6116012754653657e-08,1.1533921530558439e-06,0.99986101438455743
122,146899.35857233664,9.4546802631135012e-08,1.1345616315736202e-06,0.99986214894618897
123,149317.41165060585,9.3015709951243299e-08,1.1161885194149195e-06,0.99986326513470836
124,151755.20393767723,9.1521510169685859e-08,1.0982581220362302e-06,0.99986436339283036
125,154212.73543355067,9.0063027336765049e-08,1.0807563280411805e-06,0.99986544414915834
126,156690.00613822628,8.8639132260724132e-08,1.0636695871286897e-06,0.99986650781874542
127,159187.01605170398,8.7248739694411277e-08,1.0469848763329353e-06,0.99986755480362177
128,161703.76517398385,8.5890806956541002e-08,1.030689683478492e-06,0.99986858549330526
129,164240.25350506586,8.4564331385888238e-08,1.0147719766306588e-06,0.99986960026528193
130,166796.48104494996,8.3268348733439787e-08,9.9922018480127755e-07,0.99987059948546675
131,169372.44779363624,8.2001931614436505e-08,9.8402317937323801e-07,0.99987158350864613
132,171968.1537511246,8.0764187378174877e-08,9.6917024853809847e-07,0.99987255267889463
133,174583.59891741513,7.9554257059409162e-08,9.5465108471290989e-07,0.99987350732997937
134,177218.78329250775,7.8371313375068404e-08,9.404557605008209e-07,0.99987444778573986
135,179873.70687640252,7.7214559782122995e-08,9.2657471738547594e-07,0.99987537436045726
136,182548.36966909948,7.6083228857327362e-08,9.129987462879284e-07,0.99987628735920353
137,185242.77167059859,7.4976581002524779e-08,8.9971897203029735e-07,0.99987718707817552
138,187956.91288089985,7.3893903372071086e-08,8.8672684046485303e-07,0.99987807380501603
139,190690.79330000316,7.2834508577737554e-08,8.7401410293285065e-07,0.99987894781911901
140,193444.41292790874,7.1797733958087056e-08,8.6157280749704473e-07,0.99987980939192656
141,196217.77176461637,7.0782939930348428e-08,8.4939527916418113e-07,0.99988065878720567
142,199010.86981012617,6.9789509594069996e-08,8.374741151288399e-07,0.99988149626132083
143,201823.70706443812,6.8816847416790318e-08,8.2580216900148382e-07,0.99988232206348981
144,204656.28352755221,6.7864378554490425e-08,8.143725426538851e-07,0.99988313643603244
145,207508.59919946847,6.6931547861399491e-08,8.0317857433679384e-07,0.99988393961460675
146,210380.6540801868,6.601781910005412e-08,7.922138292006495e-07,0.99988473182843596
147,213272.44816970744,6.5122674424401983e-08,7.8147209309282374e-07,0.99988551330052911
148,216183.98146803008,6.4245613063742079e-08,7.70947356764905e-07,0.99988628424788584
149,219115.25397515498,6.3386151350152992e-08,7.6063381620183591e-07,0.99988704488170199
150,222066.26569108191,6.2543821373181084e-08,7.5052585647817301e-07,0.99988779540755846
151,225037.01661581104,6.1718170961816253e-08,7.4061805154179498e-07,0.99988853602561001
152,228027.5067493424,6.0908762631424711e-08,7.3090515157709648e-07,0.99988926693076163
153,231037.73609167588,6.0115173041140574e-08,7.2138207649368688e-07,0.99988998831283815
154,234067.70464281147,5.9336992703704187e-08,7.1204391244445022e-07,0.99989070035675065
155,237117.41240274924,5.8573825236106853e-08,7.0288590283328219e-07,0.99989140324265346
156,240186.85937148915,5.782528694504112e-08,6.9390344334049341e-07,0.99989209714609684
157,243276.04554903129,5.7091006348218957e-08,6.8509207617862746e-07,0.99989278223817302
158,246384.97093537555,5.637062355819209e-08,6.7644748269830505e-07,0.99989345868565571
159,249513.63553052195,5.5663790065913451e-08,6.6796548079096141e-07,0.99989412665113653
160,252662.03933447052,5.4970168228157088e-08,6.5964201873788509e-07,0.99989478629315531
161,255830.18234722118,5.428943077147855e-08,6.514731692577426e-07,0.99989543776632461
162,259018.06456877408,5.3621260609951791e-08,6.4345512731942144e-07,0.9998960812214519
163,262225.68599912903,5.2965350223278412e-08,6.3558420267934094e-07,0.99989671680565462
164,265453.04663828638,5.2321401717412926e-08,6.2785682060895508e-07,0.99989734466247526
165,268700.14648624562,5.168912563807881e-08,6.2026950765694567e-07,0.99989796493198291
166,271966.98554300721,5.1068241859815877e-08,6.128189023177905e-07,0.9998985777508852
167,275253.56380857085,5.0458478202030759e-08,6.0550173842436914e-07,0.99989918325262361
168,278559.88128293684,4.9859570815880776e-08,5.9831484979056934e-07,0.99989978156747339
169,281885.93796610477,4.9271263270928643e-08,5.9125515925114371e-07,0.99990037282263267
170,285231.73385807493,4.8693307091507914e-08,5.8431968509809499e-07,0.99990095714231775
171,288597.26895884739,4.8125460861877064e-08,5.775055303425248e-07,0.99990153464784814
172,291982.54326842166,4.7567489922140039e-08,5.7080987906568047e-07,0.99990210545772717
173,295387.55678679841,4.7019166909992296e-08,5.6423000291990756e-07,0.99990266968773012
174,298812.3095139772,4.6480270479976093e-08,5.5776324575971312e-07,0.99990322745097593
175,302256.80144995824,4.5950585857493945e-08,5.5140703028992732e-07,0.99990377885800619
176,305721.03259474144,4.5429904276099481e-08,5.4515885131319383e-07,0.99990432401685747
177,309205.00294832676,4.4918022841576757e-08,5.3901627409892106e-07,0.99990486303313153
178,312708.71251071413,4.44147442639339e-08,5.3297693116720683e-07,0.99990539601006267
179,316232.16128190386,4.3919877001628589e-08,5.2703852401954304e-07,0.99990592304858672
180,319775.34926189575,4.3433234595782227e-08,5.2119881514938678e-07,0.99990644424740183
181,323338.27645068965,4.2954635691913702e-08,5.1545562830296437e-07,0.99990695970303012
182,326920.94284828595,4.2483904192565848e-08,5.098068503107902e-07,0.99990746950988041
183,330523.34845468414,4.2020868349375376e-08,5.0425042019250446e-07,0.99990797376030061
184,334145.49326988473,4.1565361588372122e-08,4.9878433906046549e-07,0.99990847254463966
185,337787.37729388737,4.1117221351596724e-08,4.9340665621916068e-07,0.99990896595129586
186,341449.00052669208,4.0676289661453457e-08,4.8811547593744149e-07,0.99990945406677179
187,345130.36296829907,4.0242412892129878e-08,4.8290895470555848e-07,0.9999099369757265
188,348831.46461870836,3.9815441290934921e-08,4.7778529549121899e-07,0.99991041476102194
189,352552.30547791952,3.9395228897074002e-08,4.72742746764888e-07,0.99991088750376866
190,356292.8855459331,3.8981634097192055e-08,4.6777960916630468e-07,0.99991135528337782
191,360053.20482274884,3.857451852080526e-08,4.6289422224966312e-07,0.99991181817760011
192,363833.2633083667,3.8173747477454496e-08,4.5808496972945398e-07,0.99991227626256984
193,367633.06100278668,3.7779189879679603e-08,4.5335027855615524e-07,0.99991272961284838
194,371452.59790600883,3.7390717919100376e-08,4.4868861502920451e-07,0.99991317830146342
195,375291.87401803315,3.700820712307881e-08,4.4409848547694575e-07,0.99991362239994885
196,379150.88933885971,3.6631536162954109e-08,4.395784339554493e-07,0.99991406197838284
197,383029.64386848832,3.6260586667620831e-08,4.3512704001144999e-07,0.99991449710542291
198,386928.1376069191,3.589524340781004e-08,4.3074292089372046e-07,0.99991492784834379
199,390846.37055415212,3.553539398942983e-08,4.2642472787315796e-07,0.99991535427307165
200,394784.34271018725,3.5180928796916217e-08,4.2217114556299464e-07,0.99991577644421725
201,398742.05407502485,3.4831741057877666e-08,4.1798089269453197e-07,0.99991619442510993
202,402719.50464866433,3.4487726308258096e-08,4.1385271569909713e-07,0.99991660827782558
203,406716.69443110586,3.4148782942502441e-08,4.097853953100293e-07,0.99991701806322086
204,410733.62342234992,3.3814811919344863e-08,4.0577774303213838e-07,0.99991742384096394
