scenario,target_norm,single_mode_threshold,single_mode_rejection_rate,mean_single_mode_residual_chi2,median_recovered_mass_h_Mpc,recovered_mass_q16_h_Mpc,recovered_mass_q84_h_Mpc,median_recovered_amplitude,dual_witness_threshold,dual_witness_rejection_rate,mean_dual_witness_score,true_mass_h_Mpc,nominal_profile_delta_chi2_1_coverage
single_mode,0.0,63.99512000044022,0.0514,47.423759231816305,0.2549121254638525,0.1,0.8,0.23153794447275786,1.6820209421324643,0.0412,-0.024451327255459766,0.15,0.6944
single_mode,4.0,63.352428162981525,0.057,47.0176313343963,0.15,0.11314124880212373,0.1853979125083386,0.499481939248692,1.6820209421324643,0.001,-1.6350494168261518,0.15,0.672
single_mode,8.0,63.68525709859087,0.0546,47.08390165624992,0.15,0.13309902472237434,0.1670899544152224,0.9688919426396392,1.6820209421324643,0.0,-3.2585619533434396,0.15,0.6924
single_mode,12.0,63.81660028789102,0.0538,46.93473377073522,0.14961449980721128,0.1383909881963832,0.1617482384098406,1.4468674882785277,1.6820209421324643,0.0,-4.920663701364787,0.15,0.6878
single_mode,20.0,64.1600199043533,0.0506,47.05118750693545,0.15,0.142961333839197,0.15759808451078866,2.408394653867475,1.6820209421324643,0.0,-8.196071071534602,0.15,0.6686
single_mode,30.0,63.37652553549117,0.0558,47.13280354788677,0.15,0.14577567469335567,0.15455550056316605,3.6126827406293867,1.6820209421324643,0.0,-12.299493708710385,0.15,0.6848
single_mode_window_mismatch,0.0,63.99512000044022,0.0496,47.382159454511424,0.2599303327626195,0.1,0.8,0.23296914675150227,1.6820209421324643,0.0434,-0.010072591396435902,0.15,0.6976
single_mode_window_mismatch,4.0,63.352428162981525,0.0586,47.23564106446649,0.14864541874102605,0.11376084512790192,0.18300397685232994,0.4930374147787624,1.6820209421324643,0.0006,-1.5946629900309497,0.15,0.6894
single_mode_window_mismatch,8.0,63.68525709859087,0.0492,47.00917644380226,0.14864541874102605,0.13052941889676037,0.1660076815647821,0.9511384059327623,1.6820209421324643,0.0,-3.2326132297330985,0.15,0.6826
single_mode_window_mismatch,12.0,63.81660028789102,0.0466,46.79565727946164,0.14864541874102605,0.13660402567543956,0.15965967727133,1.430883017008337,1.6820209421324643,0.0,-4.82762499887805,0.15,0.679
single_mode_window_mismatch,20.0,64.1600199043533,0.0502,46.959688308526566,0.14864541874102605,0.14111535709718373,0.15556311190120187,2.3633227575484064,1.6820209421324643,0.0,-8.04070868811569,0.15,0.6794
single_mode_window_mismatch,30.0,63.37652553549117,0.0622,47.66025474080908,0.14864541874102605,0.143893358001082,0.15355441571200826,3.555129987426552,1.6820209421324643,0.0,-12.065529500269495,0.15,0.6678
positive_two_mode,0.0,63.99512000044022,0.0492,47.28342697107726,0.2549121254638525,0.1,0.8,0.2242856203381495,1.6820209421324643,0.0456,-5.532362133505728e-05,,
positive_two_mode,4.0,63.352428162981525,0.07,48.05572417439091,0.10130813313305227,0.1,0.14768261459394993,0.3718315399422,1.6820209421324643,0.0,-2.6985213225085665,,
positive_two_mode,8.0,63.68525709859087,0.0814,49.14829135839551,0.10065194142839583,0.1,0.12152473599804689,0.6813018189301339,1.6820209421324643,0.0,-5.403109429048919,,
positive_two_mode,12.0,63.81660028789102,0.1296,51.45518628068018,0.10065194142839583,0.1,0.11387886347566917,0.9990542457798606,1.6820209421324643,0.0,-8.064111044474181,,
positive_two_mode,20.0,64.1600199043533,0.3106,59.03595634518462,0.10065194142839583,0.1,0.10811000178342639,1.6354105551627152,1.6820209421324643,0.0,-13.452850430310454,,
positive_two_mode,30.0,63.37652553549117,0.7578,73.85789930539738,0.10065194142839583,0.1,0.10602283329388051,2.438187225902586,1.6820209421324643,0.0,-20.191304024537967,,
signed_out_of_class,0.0,63.99512000044022,0.0558,47.38017898800316,0.26333056756834045,0.1,0.8,0.23931893699702805,1.6820209421324643,0.046,-0.005347121635499139,,
signed_out_of_class,4.0,63.352428162981525,0.1036,49.8296643289469,0.5780723227908189,0.44575469703835713,0.8,1.9126487958713865,1.6820209421324643,0.4948,1.6651404637452396,,
signed_out_of_class,8.0,63.68525709859087,0.3058,58.34832673642796,0.5856342783782502,0.49782027881311286,0.7399870380194952,3.707029153727596,1.6820209421324643,0.9494,3.349313588986012,,
signed_out_of_class,12.0,63.81660028789102,0.716,72.31276758078486,0.5818410157491822,0.5243844846099059,0.6712615467844827,5.423595984774101,1.6820209421324643,0.9994,5.000134424654581,,
signed_out_of_class,20.0,64.1600199043533,0.9986,116.99108166479466,0.5818410157491822,0.5417022187747572,0.6290283325031472,8.943012483952163,1.6820209421324643,1.0,8.353514159023943,,
signed_out_of_class,30.0,63.37652553549117,1.0,203.6975478238134,0.5818410157491822,0.555967287936935,0.6128886551105726,13.396012913711349,1.6820209421324643,1.0,12.514382939217557,,
